,Programas_Sociales_x_Hogar-ID1-anho,Programas_Sociales_x_Hogar-HHID-identificacion_cuestionario_del_hogar,Programas_Sociales_x_Hogar-QHCLUSTER-conglomerado,Programas_Sociales_x_Hogar-QHNUMBER-vivienda_seleccionada,Programas_Sociales_x_Hogar-QHHOME-hogar_seleccionado,Programas_Sociales_x_Hogar-QH91-algun_miembro_es_beneficiario_de_beca_18?,Programas_Sociales_x_Hogar-QH93-algun_miembro_es_beneficiario_de_trabaja_peru?,Programas_Sociales_x_Hogar-QH95-algun_miembro_es_beneficiario_de_juntos?,Programas_Sociales_x_Hogar-QH96-numero_de_orden,Programas_Sociales_x_Hogar-QH96A-hace_cuanto_tiempo_es_beneficiario:_anhos,Programas_Sociales_x_Hogar-QH96M-hace_cuanto_tiempo_es_beneficiario:_meses,Programas_Sociales_x_Hogar-QH96AC-muestra_acuerdo_de_compromiso,Programas_Sociales_x_Hogar-QH97D-dia_de_afiliacion,Programas_Sociales_x_Hogar-QH97M-mes_de_afiliacion,Programas_Sociales_x_Hogar-QH97A-anho_de_afiliacion,Programas_Sociales_x_Hogar-QH99-algun_miembro_es_beneciario_de_pension_65?,Programas_Sociales_x_Hogar-QH101-algun_miembro_recibe_ayuda_de_vaso_de_leche?,Programas_Sociales_x_Hogar-QH103-algun_miembro_recibe_ayuda_del_comedor_popular?,Programas_Sociales_x_Hogar-QH106-algun_miembro_recibe_ayuda_de_wawa_wasi/_cuna_mas?,Programas_Sociales_x_Hogar-QHVIOLEN-numero_de_mujer_para_violencia_domestica,Programas_Sociales_x_Hogar-QH101-algun_miembro_recibe_ayuda_de_vaso_de_leche?_LABEL,Programas_Sociales_x_Hogar-QH103-algun_miembro_recibe_ayuda_del_comedor_popular?_LABEL,Programas_Sociales_x_Hogar-QH106-algun_miembro_recibe_ayuda_de_wawa_wasi/_cuna_mas?_LABEL,Programas_Sociales_x_Hogar-QH91-algun_miembro_es_beneficiario_de_beca_18?_LABEL,Programas_Sociales_x_Hogar-QH93-algun_miembro_es_beneficiario_de_trabaja_peru?_LABEL,Programas_Sociales_x_Hogar-QH95-algun_miembro_es_beneficiario_de_juntos?_LABEL,Programas_Sociales_x_Hogar-QH96A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,Programas_Sociales_x_Hogar-QH96AC-muestra_acuerdo_de_compromiso_LABEL,Programas_Sociales_x_Hogar-QH96M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,Programas_Sociales_x_Hogar-QH97A-anho_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH97D-dia_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH97M-mes_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH99-algun_miembro_es_beneciario_de_pension_65?_LABEL
0,2019,100201,1,2,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
1,2019,102801,1,28,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,6,No,No,No,0,No,No,0,0,0,0,0,0,0
2,2019,104801,1,48,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
3,2019,113601,1,136,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
4,2019,113701,1,137,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,No,No,No,0,0,0,0,0,0,0
5,2019,116701,1,167,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,No,No,No,0,0,0,0,0,0,0
6,2019,119101,1,191,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,No,No,No,0,0,0,0,0,0,0
7,2019,120701,1,207,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
8,2019,122201,1,222,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,No
9,2019,200301,2,3,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,3,No,No,0,0,No,No,0,0,0,0,0,0,No
10,2019,203001,2,30,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
11,2019,204001,2,40,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,3,No,No,No,No,No,No,0,0,0,0,0,0,0
12,2019,204601,2,46,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
13,2019,205201,2,52,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,No,No,No,No,No,No,0,0,0,0,0,0,0
14,2019,207701,2,77,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,No,No,No,No,No,No,0,0,0,0,0,0,0
15,2019,208001,2,80,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,No
16,2019,209401,2,94,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,No
17,2019,211301,2,113,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
18,2019,211701,2,117,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,No,No,No,0,0,0,0,0,0,0
19,2019,301001,3,10,1,0,2,2,0,0,0,0,0,0,0,1,1,2,2,2,Si,No,No,0,No,No,0,0,0,0,0,0,Si
20,2019,305001,3,50,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
21,2019,308301,3,83,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
22,2019,310401,3,104,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
23,2019,311501,3,115,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,0
24,2019,316001,3,160,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
25,2019,320001,3,200,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
26,2019,322501,3,225,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,No,No,No,0,0,0,0,0,0,0
27,2019,325801,3,258,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,4,No,No,0,No,No,No,0,0,0,0,0,0,0
28,2019,400101,4,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
29,2019,400601,4,6,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,No
30,2019,401301,4,13,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
31,2019,403801,4,38,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2,Si,No,No,0,No,No,0,0,0,0,0,0,0
32,2019,406001,4,60,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
33,2019,409001,4,90,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
34,2019,413001,4,130,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,0
35,2019,413101,4,131,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
36,2019,415901,4,159,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,0
37,2019,417401,4,174,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,4,No,No,No,No,No,No,0,0,0,0,0,0,No
38,2019,500501,5,5,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,0
39,2019,500801,5,8,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
40,2019,501101,5,11,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,5,No,No,No,No,No,No,0,0,0,0,0,0,0
41,2019,502401,5,24,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,Si
42,2019,503401,5,34,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,6,No,No,0,No,No,No,0,0,0,0,0,0,Si
43,2019,505801,5,58,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,No,No,No,No,No,No,0,0,0,0,0,0,0
44,2019,508001,5,80,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,5,No,No,No,0,No,No,0,0,0,0,0,0,0
45,2019,509801,5,98,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,No,No,No,0,0,0,0,0,0,0
46,2019,512001,5,120,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,No,No,No,0,0,0,0,0,0,0
47,2019,600101,6,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,0,No,No,0,0,0,0,0,0,0
48,2019,602501,6,25,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,No
49,2019,606601,6,66,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,6,No,No,No,0,No,No,0,0,0,0,0,0,0
50,2019,610401,6,104,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,No,No,No,0,0,0,0,0,0,0
51,2019,610701,6,107,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,No,No,No,0,0,0,0,0,0,0
52,2019,611601,6,116,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
53,2019,612701,6,127,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
54,2019,613201,6,132,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,0,No,No,0,0,0,0,0,0,0
55,2019,617801,6,178,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,No
56,2019,701901,7,19,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,Si
57,2019,702001,7,20,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
58,2019,702501,7,25,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
59,2019,706201,7,62,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3,No,No,0,No,No,No,0,0,0,0,0,0,0
60,2019,711701,7,117,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,2,No,No,0,No,No,No,0,0,0,0,0,0,No
61,2019,712001,7,120,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
62,2019,712101,7,121,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,No,No,No,0,0,0,0,0,0,0
63,2019,713701,7,137,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,3,No,No,0,No,No,No,0,0,0,0,0,0,Si
64,2019,717501,7,175,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
65,2019,800201,8,2,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,No,No,No,0,0,0,0,0,0,0
