qhcluster,qhnumber,qhhome,ps109_1r,ps109_1a,ps109_1m,ps109_1s,ps7,hvidx,hhid
478,77,1,si,2.0,3.0,,1,4,      047807701
478,77,1,si,2.0,3.0,,2,6,      047807701
478,79,1,si,2.0,3.0,,1,3,      047807901
478,79,1,si,1.0,3.0,,2,4,      047807901
478,80,1,si,2.0,3.0,,1,5,      047808001
478,80,1,si,2.0,3.0,,2,6,      047808001
478,80,1,si,1.0,3.0,,3,7,      047808001
479,2,1,si,1.0,0.0,,1,2,      047900201
479,2,1,si,1.0,0.0,,2,3,      047900201
479,2,1,si,1.0,0.0,,3,4,      047900201
479,4,1,si,2.0,0.0,,1,7,      047900401
479,4,1,si,2.0,0.0,,2,8,      047900401
479,4,1,si,1.0,0.0,,3,9,      047900401
479,5,1,si,1.0,0.0,,1,5,      047900501
479,5,1,si,1.0,0.0,,2,6,      047900501
479,7,1,si,0.0,0.0,,1,3,      047900701
479,8,1,si,1.0,0.0,,1,4,      047900801
479,8,1,si,1.0,0.0,,2,5,      047900801
479,9,1,si,1.0,0.0,,1,4,      047900901
479,43,1,si,1.0,0.0,,1,3,      047904301
479,43,1,si,1.0,0.0,,2,4,      047904301
479,45,1,si,1.0,0.0,,1,2,      047904501
480,11,1,si,2.0,3.0,,1,5,      048001101
480,11,1,si,2.0,3.0,,2,6,      048001101
480,14,1,si,2.0,3.0,,1,3,      048001401
480,56,1,si,2.0,2.0,,1,4,      048005601
480,58,1,si,2.0,3.0,,1,5,      048005801
480,59,1,si,2.0,3.0,,1,3,      048005901
480,59,1,si,2.0,3.0,,2,4,      048005901
480,60,1,si,3.0,3.0,,1,4,      048006001
480,60,1,si,1.0,3.0,,2,5,      048006001
480,75,1,si,2.0,3.0,,1,3,      048007501
480,75,1,si,1.0,3.0,,2,4,      048007501
480,76,1,si,3.0,3.0,,1,3,      048007601
480,76,1,si,2.0,3.0,,2,4,      048007601
480,76,1,si,2.0,3.0,,3,7,      048007601
480,79,1,si,2.0,3.0,,1,5,      048007901
480,79,1,si,2.0,3.0,,2,6,      048007901
480,79,1,si,2.0,3.0,,3,7,      048007901
481,7,1,si,1.0,1.0,,1,3,      048100701
481,29,1,si,1.0,1.0,,1,4,      048102901
481,62,1,si,1.0,1.0,,1,3,      048106201
481,74,1,si,1.0,1.0,,1,3,      048107401
481,91,1,si,1.0,1.0,,1,5,      048109101
481,105,1,si,1.0,1.0,,1,3,      048110501
481,105,1,si,1.0,1.0,,2,4,      048110501
481,105,1,si,0.0,1.0,,3,5,      048110501
481,110,1,si,1.0,1.0,,1,3,      048111001
481,119,1,si,1.0,1.0,,1,3,      048111901
481,119,1,si,1.0,1.0,,2,4,      048111901
481,125,1,si,1.0,1.0,,1,3,      048112501
481,125,1,si,1.0,1.0,,2,4,      048112501
482,21,1,si,2.0,1.0,,1,5,      048202101
482,21,1,si,2.0,1.0,,2,6,      048202101
482,21,1,si,2.0,1.0,,3,7,      048202101
482,22,1,si,2.0,1.0,,1,4,      048202201
482,22,1,si,2.0,1.0,,2,5,      048202201
482,22,1,si,2.0,1.0,,3,6,      048202201
482,22,1,si,0.0,1.0,,4,7,      048202201
482,23,1,si,1.0,2.0,,1,3,      048202301
482,23,1,si,0.0,2.0,,2,4,      048202301
482,24,1,si,1.0,1.0,,1,3,      048202401
482,25,1,si,2.0,1.0,,1,4,      048202501
482,25,1,si,2.0,1.0,,2,5,      048202501
482,36,1,si,2.0,1.0,,1,4,      048203601
482,37,1,si,2.0,1.0,,1,3,      048203701
482,37,1,si,2.0,1.0,,2,4,      048203701
482,37,1,si,2.0,1.0,,3,5,      048203701
482,37,1,si,0.0,1.0,,4,6,      048203701
482,40,1,si,1.0,1.0,,1,3,      048204001
482,60,1,si,2.0,1.0,,1,4,      048206001
482,60,1,si,1.0,1.0,,2,5,      048206001
482,62,1,si,2.0,1.0,,1,4,      048206201
483,8,1,si,1.0,1.0,,1,4,      048300801
483,10,1,si,1.0,1.0,,1,3,      048301001
483,24,1,si,1.0,1.0,,1,3,      048302401
483,24,1,si,1.0,1.0,,2,4,      048302401
483,24,1,si,1.0,1.0,,3,5,      048302401
483,24,1,si,1.0,1.0,,4,6,      048302401
483,25,1,si,1.0,1.0,,1,5,      048302501
483,25,1,si,1.0,1.0,,2,6,      048302501
483,25,1,si,1.0,1.0,,3,7,      048302501
483,25,1,si,1.0,1.0,,4,8,      048302501
483,29,1,si,1.0,1.0,,1,3,      048302901
483,30,1,si,1.0,2.0,,1,6,      048303001
484,1,1,si,1.0,0.0,,1,5,      048400101
484,2,1,si,2.0,0.0,,1,5,      048400201
484,2,1,si,2.0,0.0,,2,6,      048400201
484,2,1,no,,,,3,7,      048400201
484,4,1,si,2.0,0.0,,1,3,      048400401
484,4,1,si,2.0,0.0,,2,4,      048400401
484,4,1,si,2.0,0.0,,3,5,      048400401
484,5,1,si,2.0,0.0,,1,5,      048400501
484,5,1,si,2.0,0.0,,2,6,      048400501
484,46,1,si,2.0,0.0,,1,3,      048404601
484,47,1,si,2.0,0.0,,1,4,      048404701
484,48,1,si,2.0,0.0,,1,4,      048404801
484,50,1,si,2.0,0.0,,1,2,      048405001
484,50,1,si,2.0,0.0,,2,3,      048405001
484,57,1,si,2.0,0.0,,1,3,      048405701
484,57,1,si,2.0,0.0,,2,4,      048405701
484,58,1,si,2.0,0.0,,1,3,      048405801
484,58,1,si,1.0,0.0,,2,4,      048405801
484,59,1,si,1.0,0.0,,1,5,      048405901
484,59,1,si,1.0,0.0,,2,6,      048405901
485,14,1,si,2.0,2.0,,1,3,      048501401
485,20,1,si,0.0,1.0,,1,3,      048502001
486,31,1,no,,,,1,3,      048603101
486,31,1,no,,,,2,4,      048603101
486,32,1,no,,,,1,3,      048603201
486,32,1,no,,,,2,4,      048603201
486,33,1,no,,,,1,3,      048603301
486,34,1,no,,,,1,4,      048603401
486,34,1,no,,,,2,5,      048603401
486,60,1,si,2.0,0.0,,1,5,      048606001
486,60,1,si,2.0,0.0,,2,6,      048606001
486,60,1,si,2.0,0.0,,3,7,      048606001
486,61,1,no,,,,1,3,      048606101
486,61,1,no,,,,2,4,      048606101
486,61,1,no,,,,3,5,      048606101
486,64,1,si,1.0,0.0,,1,3,      048606401
486,73,1,si,2.0,0.0,,1,6,      048607301
486,77,1,si,1.0,0.0,,1,5,      048607701
486,77,1,si,1.0,0.0,,2,6,      048607701
486,77,1,si,0.0,0.0,,3,7,      048607701
487,4,1,si,2.0,1.0,,1,4,      048700401
487,5,1,si,1.0,1.0,,1,3,      048700501
487,8,1,si,2.0,1.0,,1,2,      048700801
487,8,1,si,2.0,1.0,,2,4,      048700801
487,9,1,si,2.0,1.0,,1,5,      048700901
487,9,1,si,2.0,1.0,,2,6,      048700901
487,9,1,si,2.0,1.0,,3,7,      048700901
487,16,1,si,2.0,1.0,,1,3,      048701601
487,18,1,si,2.0,1.0,,1,6,      048701801
487,27,1,si,2.0,1.0,,1,3,      048702701
487,30,1,si,2.0,1.0,,1,3,      048703001
487,30,1,si,2.0,1.0,,2,4,      048703001
487,30,1,si,2.0,1.0,,3,7,      048703001
487,47,1,si,0.0,1.0,,1,3,      048704701
487,51,1,si,2.0,1.0,,1,5,      048705101
487,51,1,si,2.0,1.0,,2,6,      048705101
487,51,1,si,1.0,1.0,,3,7,      048705101
487,53,1,si,2.0,1.0,,1,5,      048705301
487,53,1,si,2.0,1.0,,2,6,      048705301
487,54,1,si,1.0,1.0,,1,2,      048705401
488,2,1,si,2.0,3.0,,1,3,      048800201
488,2,1,si,2.0,3.0,,2,4,      048800201
488,2,1,si,2.0,3.0,,3,5,      048800201
488,3,1,si,0.0,2.0,,1,3,      048800301
488,6,1,si,2.0,3.0,,1,2,      048800601
488,8,1,si,2.0,3.0,,1,3,      048800801
488,9,1,si,1.0,2.0,,1,3,      048800901
488,46,1,si,2.0,0.0,,1,4,      048804601
488,46,1,si,1.0,0.0,,2,5,      048804601
488,46,1,no,,,,3,6,      048804601
489,12,1,si,1.0,0.0,,1,3,      048901201
489,13,1,si,2.0,0.0,,1,4,      048901301
489,17,1,si,1.0,1.0,,1,3,      048901701
489,17,1,si,1.0,1.0,,2,4,      048901701
489,17,1,si,1.0,1.0,,3,5,      048901701
489,18,1,si,2.0,3.0,,1,5,      048901801
489,18,1,si,2.0,3.0,,2,6,      048901801
489,51,1,si,1.0,0.0,,1,3,      048905101
489,52,1,si,1.0,0.0,,1,4,      048905201
489,53,1,si,1.0,0.0,,1,3,      048905301
490,63,1,si,2.0,2.0,,1,3,      049006301
490,63,1,si,2.0,2.0,,2,4,      049006301
490,64,1,si,1.0,2.0,,1,3,      049006401
490,64,1,si,1.0,2.0,,2,4,      049006401
490,64,1,si,0.0,2.0,,3,5,      049006401
490,65,1,si,2.0,2.0,,1,3,      049006501
490,65,1,si,2.0,2.0,,2,4,      049006501
490,65,1,no,,,,3,5,      049006501
490,66,1,si,1.0,2.0,,1,4,      049006601
490,66,1,no,,,,2,5,      049006601
490,67,1,si,2.0,2.0,,1,4,      049006701
490,112,1,si,2.0,2.0,,1,5,      049011201
490,112,1,si,2.0,2.0,,2,6,      049011201
490,135,1,si,1.0,2.0,,1,3,      049013501
490,136,1,si,1.0,2.0,,1,5,      049013601
490,137,1,si,2.0,2.0,,1,6,      049013701
490,137,1,si,2.0,2.0,,2,7,      049013701
491,36,1,si,1.0,0.0,,1,3,      049103601
491,39,1,no,,,,2,3,      049103901
491,39,1,si,2.0,0.0,,1,5,      049103901
491,40,1,si,3.0,0.0,,1,3,      049104001
491,46,1,si,2.0,1.0,,1,3,      049104601
491,47,1,si,1.0,0.0,,1,2,      049104701
491,50,1,si,1.0,0.0,,1,5,      049105001
491,70,1,si,1.0,1.0,,1,5,      049107001
491,70,1,si,0.0,1.0,,2,6,      049107001
492,4,1,si,1.0,1.0,,1,2,      049200401
492,4,1,si,1.0,1.0,,2,3,      049200401
492,4,1,si,1.0,1.0,,3,4,      049200401
492,17,1,si,1.0,0.0,,1,3,      049201701
492,17,1,si,1.0,0.0,,2,4,      049201701
492,18,1,si,1.0,1.0,,1,4,      049201801
492,19,1,si,2.0,0.0,,1,3,      049201901
492,19,1,si,1.0,0.0,,2,4,      049201901
492,27,1,si,1.0,1.0,,1,3,      049202701
492,28,1,si,1.0,0.0,,1,3,      049202801
492,28,1,si,0.0,1.0,,2,4,      049202801
492,30,1,si,2.0,0.0,,1,6,      049203001
493,2,1,si,2.0,2.0,,1,3,      049300201
493,2,1,si,1.0,2.0,,2,4,      049300201
493,4,1,si,1.0,2.0,,1,3,      049300401
493,5,1,si,2.0,1.0,,1,6,      049300501
493,5,1,si,2.0,1.0,,2,7,      049300501
493,16,1,si,2.0,2.0,,1,6,      049301601
493,16,1,si,2.0,2.0,,2,7,      049301601
493,17,1,si,1.0,2.0,,1,3,      049301701
493,70,1,si,2.0,2.0,,1,4,      049307001
493,70,1,si,2.0,2.0,,2,5,      049307001
493,70,1,si,2.0,2.0,,3,6,      049307001
493,70,1,si,2.0,2.0,,4,7,      049307001
493,71,1,si,1.0,2.0,,1,3,      049307101
493,74,1,si,2.0,2.0,,1,3,      049307401
494,2,1,si,2.0,1.0,,1,5,      049400201
494,4,1,si,2.0,1.0,,1,3,      049400401
494,4,1,9,99.0,99.0,,2,4,      049400401
494,5,1,si,2.0,1.0,,1,5,      049400501
494,8,1,si,2.0,2.0,,1,2,      049400801
494,80,1,si,2.0,1.0,,1,3,      049408001
494,82,1,si,0.0,2.0,,1,3,      049408201
494,83,1,si,2.0,1.0,,1,4,      049408301
494,83,1,si,0.0,1.0,,2,5,      049408301
494,84,1,si,2.0,1.0,,1,3,      049408401
495,24,1,si,2.0,2.0,,1,2,      049502401
495,25,1,si,2.0,2.0,,1,6,      049502501
495,25,1,si,1.0,2.0,,2,7,      049502501
495,26,1,si,2.0,2.0,,1,3,      049502601
495,26,1,si,1.0,2.0,,2,4,      049502601
495,27,1,si,1.0,2.0,,1,3,      049502701
495,28,1,si,2.0,2.0,,1,2,      049502801
495,29,1,si,0.0,2.0,,1,7,      049502901
495,30,1,si,2.0,2.0,,1,3,      049503001
495,30,1,si,1.0,2.0,,2,4,      049503001
495,31,1,si,2.0,2.0,,1,4,      049503101
495,31,1,si,0.0,2.0,,2,5,      049503101
495,33,1,si,2.0,2.0,,1,3,      049503301
495,33,1,si,2.0,2.0,,2,4,      049503301
495,33,1,si,2.0,2.0,,3,5,      049503301
495,46,1,si,2.0,3.0,,1,4,      049504601
495,47,1,si,2.0,3.0,,1,5,      049504701
495,48,1,si,2.0,3.0,,1,3,      049504801
495,48,1,si,1.0,3.0,,2,4,      049504801
495,49,1,si,2.0,3.0,,1,2,      049504901
495,50,1,si,2.0,3.0,,1,3,      049505001
495,50,1,si,2.0,3.0,,2,4,      049505001
496,19,1,si,3.0,0.0,,1,4,      049601901
496,38,1,si,3.0,0.0,,1,2,      049603801
496,38,1,si,1.0,0.0,,2,3,      049603801
496,42,1,si,2.0,0.0,,1,3,      049604201
496,42,1,si,1.0,0.0,,2,4,      049604201
496,45,1,no,,,,1,4,      049604501
496,46,1,si,2.0,0.0,,1,5,      049604601
496,46,1,si,3.0,0.0,,2,7,      049604601
496,50,1,si,2.0,0.0,,1,3,      049605001
497,5,1,si,1.0,1.0,,1,3,      049700501
497,5,1,si,1.0,1.0,,2,4,      049700501
497,9,1,si,1.0,1.0,,1,5,      049700901
497,31,1,si,2.0,1.0,,1,4,      049703101
497,31,1,si,2.0,1.0,,2,5,      049703101
497,31,1,si,1.0,1.0,,3,6,      049703101
497,34,1,si,2.0,1.0,,1,5,      049703401
497,34,1,si,2.0,1.0,,2,6,      049703401
497,34,1,si,1.0,1.0,,3,7,      049703401
497,35,1,si,2.0,1.0,,1,3,      049703501
497,70,1,si,1.0,1.0,,1,2,      049707001
497,70,1,si,1.0,1.0,,2,3,      049707001
498,22,1,si,1.0,0.0,,1,4,      049802201
498,23,1,si,3.0,0.0,,3,4,      049802301
498,23,1,si,3.0,0.0,,1,5,      049802301
498,23,1,si,3.0,0.0,,2,6,      049802301
498,34,1,si,4.0,0.0,,1,4,      049803401
498,34,1,si,3.0,0.0,,2,5,      049803401
498,36,1,si,2.0,0.0,,1,3,      049803601
498,36,1,si,1.0,0.0,,2,4,      049803601
498,37,1,si,2.0,0.0,,1,3,      049803701
498,37,1,si,2.0,0.0,,2,4,      049803701
498,39,1,si,1.0,0.0,,1,3,      049803901
498,39,1,si,1.0,0.0,,2,4,      049803901
498,39,1,si,2.0,0.0,,3,5,      049803901
498,39,1,si,1.0,0.0,,4,6,      049803901
498,40,1,si,4.0,0.0,,1,3,      049804001
498,40,1,si,3.0,0.0,,2,4,      049804001
499,44,1,si,1.0,1.0,,1,3,      049904401
499,44,1,si,1.0,1.0,,2,4,      049904401
499,45,1,si,2.0,2.0,,1,5,      049904501
499,45,1,si,2.0,2.0,,2,6,      049904501
499,48,1,si,1.0,2.0,,1,3,      049904801
499,48,1,si,1.0,2.0,,2,4,      049904801
499,49,1,si,2.0,2.0,,1,2,      049904901
499,49,1,si,2.0,2.0,,2,3,      049904901
499,70,1,si,2.0,2.0,,1,5,      049907001
499,70,1,si,2.0,2.0,,2,6,      049907001
499,70,1,si,2.0,2.0,,3,7,      049907001
499,70,1,si,2.0,2.0,,4,8,      049907001
499,71,1,si,2.0,1.0,,1,4,      049907101
499,72,1,si,2.0,2.0,,1,3,      049907201
499,73,1,si,1.0,2.0,,1,3,      049907301
500,1,1,si,1.0,1.0,,1,5,      050000101
500,1,1,si,1.0,1.0,,2,6,      050000101
500,4,1,si,1.0,1.0,,1,3,      050000401
500,4,1,si,1.0,1.0,,2,4,      050000401
500,4,1,si,1.0,1.0,,3,5,      050000401
500,4,1,si,1.0,1.0,,4,6,      050000401
500,4,1,si,1.0,1.0,,5,8,      050000401
500,5,1,si,2.0,1.0,,1,5,      050000501
500,5,1,si,2.0,1.0,,2,6,      050000501
500,5,1,si,0.0,1.0,,3,7,      050000501
500,36,1,si,1.0,1.0,,1,3,      050003601
500,37,1,si,1.0,1.0,,1,4,      050003701
500,38,1,si,2.0,1.0,,1,3,      050003801
500,38,1,si,2.0,1.0,,2,4,      050003801
500,38,1,si,1.0,1.0,,3,5,      050003801
500,39,1,si,1.0,1.0,,1,4,      050003901
500,39,1,si,1.0,1.0,,2,5,      050003901
500,39,1,si,1.0,1.0,,3,6,      050003901
500,40,1,si,1.0,1.0,,1,5,      050004001
500,40,1,si,1.0,1.0,,2,6,      050004001
500,40,1,si,1.0,1.0,,3,7,      050004001
500,40,1,si,0.0,1.0,,4,8,      050004001
500,60,1,si,1.0,1.0,,1,3,      050006001
500,60,1,si,1.0,1.0,,2,4,      050006001
500,60,1,si,1.0,1.0,,3,5,      050006001
500,61,1,si,1.0,1.0,,1,3,      050006101
500,62,1,si,0.0,1.0,,1,3,      050006201
500,64,1,si,2.0,1.0,,1,5,      050006401
500,64,1,si,2.0,1.0,,2,6,      050006401
501,1,1,si,2.0,3.0,,1,3,      050100101
501,2,1,si,1.0,3.0,,1,3,      050100201
501,3,1,si,2.0,3.0,,1,4,      050100301
501,3,1,si,2.0,3.0,,2,5,      050100301
501,4,1,si,2.0,2.0,,1,4,      050100401
501,4,1,si,1.0,2.0,,2,5,      050100401
501,4,1,si,1.0,2.0,,3,6,      050100401
501,5,1,si,2.0,3.0,,1,6,      050100501
501,31,1,si,2.0,2.0,,1,5,      050103101
501,31,1,si,2.0,2.0,,2,6,      050103101
501,31,1,si,2.0,2.0,,3,7,      050103101
501,31,1,si,0.0,2.0,,4,8,      050103101
501,32,1,si,0.0,3.0,,1,5,      050103201
501,33,1,si,1.0,2.0,,1,5,      050103301
501,33,1,si,1.0,2.0,,2,6,      050103301
501,34,1,si,2.0,2.0,,1,5,      050103401
501,35,1,si,2.0,2.0,,1,2,      050103501
501,35,1,si,2.0,2.0,,2,3,      050103501
501,108,1,si,2.0,2.0,,1,3,      050110801
501,111,1,si,2.0,2.0,,1,4,      050111101
501,112,1,si,2.0,2.0,,1,5,      050111201
502,5,1,si,2.0,2.0,,1,6,      050200501
502,5,1,si,0.0,2.0,,2,8,      050200501
502,10,1,si,2.0,2.0,,1,4,      050201001
502,18,1,si,1.0,2.0,,1,3,      050201801
502,20,1,si,2.0,2.0,,1,3,      050202001
502,33,1,si,3.0,2.0,,1,3,      050203301
502,33,1,si,1.0,2.0,,2,4,      050203301
502,49,1,si,2.0,2.0,,1,3,      050204901
502,59,1,si,0.0,2.0,,1,3,      050205901
503,20,1,si,2.0,0.0,,1,3,      050302001
503,20,1,si,2.0,0.0,,2,4,      050302001
503,20,1,si,2.0,0.0,,3,5,      050302001
503,21,1,si,1.0,0.0,,1,3,      050302101
503,22,1,si,2.0,0.0,,1,2,      050302201
503,23,1,si,2.0,0.0,,1,3,      050302301
503,23,1,9,99.0,99.0,,2,5,      050302301
503,24,1,si,2.0,0.0,,1,3,      050302401
503,38,1,si,2.0,0.0,,1,4,      050303801
503,39,1,si,2.0,0.0,,1,2,      050303901
503,39,1,si,1.0,0.0,,2,3,      050303901
503,61,1,si,4.0,0.0,,1,2,      050306101
503,61,1,9,99.0,99.0,,2,3,      050306101
503,63,1,si,2.0,0.0,,1,4,      050306301
503,64,1,si,3.0,0.0,,1,3,      050306401
503,64,1,si,2.0,0.0,,2,4,      050306401
504,6,1,si,1.0,3.0,,1,2,      050400601
504,6,1,si,0.0,3.0,,2,3,      050400601
504,7,1,si,1.0,1.0,,1,3,      050400701
504,9,1,si,0.0,1.0,,1,3,      050400901
504,9,1,si,1.0,1.0,,2,7,      050400901
504,10,1,si,2.0,1.0,,1,3,      050401001
504,10,1,si,1.0,1.0,,2,4,      050401001
504,14,1,si,2.0,1.0,,1,3,      050401401
504,14,1,si,0.0,1.0,,2,4,      050401401
504,15,1,si,1.0,3.0,,1,3,      050401501
504,36,1,si,3.0,1.0,,1,3,      050403601
504,36,1,si,0.0,1.0,,2,4,      050403601
504,39,1,si,2.0,1.0,,1,4,      050403901
504,40,1,si,2.0,1.0,,1,4,      050404001
505,11,1,si,2.0,1.0,,1,4,      050501101
505,12,1,si,1.0,1.0,,1,3,      050501201
505,12,1,si,1.0,1.0,,2,4,      050501201
505,12,1,si,2.0,1.0,,3,9,      050501201
505,13,1,si,2.0,1.0,,1,4,      050501301
505,13,1,si,2.0,1.0,,2,5,      050501301
505,14,1,si,1.0,1.0,,1,3,      050501401
505,14,1,si,0.0,1.0,,2,4,      050501401
505,52,1,si,1.0,1.0,,1,3,      050505201
505,87,1,si,2.0,1.0,,1,5,      050508701
505,87,1,si,2.0,1.0,,2,6,      050508701
505,87,1,si,2.0,1.0,,3,7,      050508701
505,87,1,si,2.0,1.0,,4,8,      050508701
505,89,1,si,2.0,1.0,,1,3,      050508901
505,89,1,si,2.0,1.0,,2,4,      050508901
505,89,1,si,2.0,1.0,,3,5,      050508901
505,89,1,si,2.0,1.0,,4,6,      050508901
505,91,1,si,2.0,1.0,,1,5,      050509101
505,91,1,si,2.0,1.0,,2,7,      050509101
506,36,1,si,1.0,0.0,,1,7,      050603601
506,36,1,no,,,,2,8,      050603601
506,36,1,no,,,,3,12,      050603601
506,54,1,si,1.0,0.0,,1,4,      050605401
506,67,1,no,,,,1,3,      050606701
506,67,1,si,1.0,1.0,,2,6,      050606701
506,90,1,si,0.0,1.0,,1,5,      050609001
506,90,1,no,,,,2,6,      050609001
507,12,1,si,1.0,0.0,,1,5,      050701201
507,12,1,no,,,,2,6,      050701201
507,19,1,no,,,,1,3,      050701901
507,125,1,no,,,,1,3,      050712501
507,125,1,no,,,,2,4,      050712501
507,127,1,si,0.0,2.0,,1,5,      050712701
507,131,1,si,1.0,1.0,,1,4,      050713101
507,131,1,si,0.0,3.0,,2,5,      050713101
508,47,1,no,,,,1,3,      050804701
508,86,1,no,,,,1,4,      050808601
508,86,1,no,,,,2,5,      050808601
508,91,1,si,2.0,0.0,,1,8,      050809101
509,54,1,si,1.0,0.0,,1,4,      050905401
509,54,1,si,1.0,0.0,,2,5,      050905401
509,54,1,si,0.0,1.0,,3,6,      050905401
509,67,1,si,0.0,1.0,,1,4,      050906701
510,67,1,si,1.0,0.0,,1,7,      051006701
511,4,1,si,1.0,3.0,,1,7,      051100401
511,37,1,si,1.0,0.0,,1,6,      051103701
511,48,1,no,,,,1,9,      051104801
511,48,1,no,,,,2,10,      051104801
511,48,1,no,,,,3,11,      051104801
511,48,1,no,,,,4,12,      051104801
511,54,1,si,1.0,3.0,,1,3,      051105401
511,59,1,si,0.0,3.0,,1,3,      051105901
511,59,1,no,,,,2,4,      051105901
512,25,1,si,2.0,0.0,,1,7,      051202501
512,32,1,no,,,,1,3,      051203201
512,46,1,si,1.0,0.0,,1,5,      051204601
512,110,1,si,2.0,0.0,,1,3,      051211001
512,110,1,si,2.0,0.0,,2,4,      051211001
512,110,1,si,2.0,0.0,,3,5,      051211001
512,110,1,no,,,,4,7,      051211001
512,148,1,si,1.0,0.0,,1,4,      051214801
512,195,1,si,0.0,1.0,,1,3,      051219501
514,17,1,si,2.0,5.0,,1,4,      051401701
514,20,1,si,1.0,5.0,,1,4,      051402001
514,48,1,si,2.0,1.0,,1,4,      051404801
514,48,1,si,0.0,3.0,,2,5,      051404801
514,49,1,si,1.0,0.0,,1,3,      051404901
514,49,1,si,0.0,2.0,,2,4,      051404901
515,12,1,no,,,,1,5,      051501201
515,44,1,si,2.0,0.0,,1,3,      051504401
515,44,1,no,,,,2,4,      051504401
515,51,1,si,1.0,0.0,,1,3,      051505101
515,51,1,no,,,,2,4,      051505101
515,66,1,si,0.0,4.0,,1,5,      051506601
515,71,1,si,1.0,0.0,,1,3,      051507101
515,71,1,si,1.0,0.0,,2,4,      051507101
515,71,1,no,,,,3,5,      051507101
515,81,1,si,1.0,0.0,,1,4,      051508101
515,81,2,no,,,,1,3,      051508102
516,25,1,no,,,,1,5,      051602501
516,25,1,no,,,,2,6,      051602501
516,25,1,no,,,,3,7,      051602501
516,54,1,si,1.0,3.0,,1,4,      051605401
516,54,1,no,,,,2,6,      051605401
516,75,1,no,,,,1,4,      051607501
516,103,1,no,,,,1,4,      051610301
516,103,1,no,,,,2,5,      051610301
516,103,1,no,,,,3,6,      051610301
517,3,1,no,,,,1,7,      051700301
517,9,1,no,,,,1,4,      051700901
517,60,1,si,2.0,0.0,,1,5,      051706001
518,8,1,no,,,,1,4,      051800801
518,8,1,no,,,,2,5,      051800801
518,48,1,no,,,,1,4,      051804801
518,62,1,no,,,,1,3,      051806201
518,90,1,si,2.0,0.0,,1,5,      051809001
518,107,1,no,,,,1,3,      051810701
518,119,1,no,,,,1,3,      051811901
519,1,1,si,1.0,2.0,,1,5,      051900101
519,14,1,si,2.0,0.0,,1,3,      051901401
519,56,1,si,1.0,2.0,,1,3,      051905601
519,56,1,si,1.0,2.0,,2,4,      051905601
519,78,1,no,,,,1,9,      051907801
519,78,1,no,,,,2,10,      051907801
519,78,1,no,,,,3,12,      051907801
519,130,1,no,,,,1,6,      051913001
520,75,1,si,1.0,1.0,,1,2,      052007501
520,75,1,si,1.0,1.0,,2,3,      052007501
521,36,1,si,2.0,0.0,,1,3,      052103601
522,50,1,si,0.0,4.0,,1,5,      052205001
523,3,1,si,2.0,4.0,,1,3,      052300301
523,3,1,si,2.0,4.0,,2,4,      052300301
523,3,1,si,1.0,4.0,,3,5,      052300301
523,26,1,si,2.0,4.0,,1,3,      052302601
523,26,1,si,2.0,4.0,,2,4,      052302601
523,26,1,si,1.0,4.0,,3,5,      052302601
523,62,1,si,2.0,4.0,,1,5,      052306201
523,62,1,si,2.0,4.0,,2,6,      052306201
523,77,1,si,2.0,4.0,,1,4,      052307701
523,77,1,si,2.0,4.0,,2,5,      052307701
523,77,1,si,0.0,4.0,,3,6,      052307701
523,93,1,si,1.0,4.0,,1,3,      052309301
523,107,1,si,1.0,4.0,,1,3,      052310701
524,42,1,si,1.0,0.0,,1,3,      052404201
524,42,1,si,1.0,0.0,,2,4,      052404201
524,100,1,si,0.0,6.0,,1,4,      052410001
524,100,1,si,1.0,99.0,,2,5,      052410001
525,8,1,no,,,,1,4,      052500801
525,33,1,no,,,,1,2,      052503301
525,58,1,no,,,,1,4,      052505801
525,68,1,si,1.0,1.0,,1,3,      052506801
525,68,1,no,,,,2,4,      052506801
525,71,1,si,1.0,0.0,,1,4,      052507101
526,95,1,si,1.0,1.0,,1,4,      052609501
526,126,1,no,,,,1,4,      052612601
527,39,1,no,,,,1,6,      052703901
527,50,1,no,,,,1,5,      052705001
527,80,1,no,,,,1,7,      052708001
527,89,1,no,,,,1,3,      052708901
527,89,1,no,,,,2,4,      052708901
527,89,1,no,,,,3,5,      052708901
528,1,1,si,1.0,2.0,,1,4,      052800101
528,26,1,no,,,,1,5,      052802601
528,32,1,no,,,,1,8,      052803201
528,58,1,no,,,,1,3,      052805801
528,73,1,no,,,,1,4,      052807301
528,73,1,no,,,,2,5,      052807301
529,12,1,si,1.0,0.0,,1,2,      052901201
529,72,1,si,1.0,0.0,,1,4,      052907201
529,102,1,si,2.0,0.0,,1,5,      052910201
529,134,1,si,1.0,0.0,,1,3,      052913401
529,153,1,si,2.0,0.0,,1,4,      052915301
530,3,1,no,,,,1,3,      053000301
530,3,1,no,,,,2,4,      053000301
530,3,1,no,,,,3,5,      053000301
530,3,1,no,,,,4,6,      053000301
530,14,1,ns,,,,1,6,      053001401
530,18,1,si,1.0,0.0,,1,4,      053001801
530,26,1,si,2.0,0.0,,1,3,      053002601
530,50,1,si,2.0,0.0,,1,3,      053005001
530,61,1,si,0.0,8.0,,1,3,      053006101
530,76,1,no,,,,1,3,      053007601
530,76,1,si,2.0,0.0,,2,4,      053007601
530,89,1,no,,,,1,4,      053008901
531,24,1,si,1.0,0.0,,1,3,      053102401
