qhcluster,qhnumber,qhhome,ps100_1a,ps100_1m,ps100_1s,ps3,hvidx,hhid
154,16,1,0,4.0,,2,2,      015401601
154,20,1,1,6.0,si,1,1,      015402001
154,20,1,1,6.0,,2,2,      015402001
154,32,1,1,0.0,,1,3,      015403201
154,95,1,1,0.0,no,1,1,      015409501
155,27,1,1,6.0,,1,1,      015502701
155,41,1,2,0.0,si,1,1,      015504101
155,41,1,2,0.0,,2,2,      015504101
155,91,1,2,0.0,,1,1,      015509101
156,3,1,2,0.0,no,1,1,      015600301
156,15,1,0,1.0,,1,1,      015601501
157,18,1,1,0.0,no,1,1,      015701801
157,26,1,2,0.0,,1,1,      015702601
158,22,1,3,0.0,,1,1,      015802201
158,58,1,0,9.0,,1,2,      015805801
158,69,1,2,0.0,si,1,1,      015806901
158,69,1,2,0.0,,2,2,      015806901
159,73,1,0,8.0,,1,5,      015907301
159,114,1,3,0.0,,1,1,      015911401
160,15,1,1,0.0,,1,5,      016001501
162,6,1,1,0.0,,1,1,      016200601
162,40,1,1,4.0,,1,1,      016204001
197,67,1,0,4.0,,1,5,      019706701
221,47,1,0,4.0,si,1,1,      022104701
221,47,1,1,4.0,,2,2,      022104701
221,65,1,0,4.0,si,1,1,      022106501
221,65,1,0,4.0,,2,2,      022106501
222,1,1,1,0.0,,1,1,      022200101
222,3,1,1,0.0,si,1,1,      022200301
222,3,1,1,0.0,,2,2,      022200301
222,5,1,1,2.0,no,1,2,      022200501
223,3,1,0,6.0,,1,1,      022300301
223,11,1,1,0.0,,1,1,      022301101
223,17,1,1,0.0,,1,6,      022301701
223,36,1,1,0.0,,1,1,      022303601
224,43,1,2,5.0,,1,1,      022404301
225,65,1,1,0.0,,1,1,      022506501
229,57,1,0,4.0,,1,1,      022905701
232,82,1,1,0.0,,1,1,      023208201
235,21,1,3,6.0,,1,1,      023502101
244,89,1,1,0.0,si,1,1,      024408901
244,89,1,1,0.0,,2,2,      024408901
245,79,1,1,3.0,,1,3,      024507901
245,87,1,2,0.0,,1,1,      024508701
248,87,1,2,0.0,,1,3,      024808701
250,70,1,1,0.0,,1,4,      025007001
253,27,1,no sabe,,,1,1,      025302701
254,33,1,0,3.0,,1,1,      025403301
255,37,1,0,2.0,,1,1,      025503701
255,66,1,4,0.0,si,1,1,      025506601
255,66,1,2,0.0,,2,2,      025506601
255,78,1,2,0.0,,1,1,      025507801
256,78,1,0,5.0,no,1,1,      025607801
260,5,1,0,3.0,,1,2,      026000501
261,53,1,1,6.0,,1,3,      026105301
262,15,1,2,0.0,si,1,1,      026201501
262,15,1,no sabe,,,2,2,      026201501
263,55,1,0,4.0,,1,4,      026305501
263,79,1,1,0.0,si,1,5,      026307901
263,79,1,1,0.0,,2,6,      026307901
266,63,1,2,0.0,,1,1,      026606301
267,30,1,1,0.0,,1,1,      026703001
268,16,1,1,0.0,,1,2,      026801601
268,20,1,2,0.0,,1,1,      026802001
268,21,1,0,8.0,si,1,1,      026802101
268,21,1,0,7.0,,2,2,      026802101
269,35,1,1,0.0,,1,1,      026903501
270,32,1,0,6.0,,1,2,      027003201
271,6,1,2,0.0,si,1,1,      027100601
271,6,1,2,0.0,,2,2,      027100601
271,7,1,2,0.0,si,1,1,      027100701
271,7,1,2,0.0,,2,2,      027100701
271,8,1,2,0.0,si,1,1,      027100801
271,8,1,2,0.0,,2,2,      027100801
271,11,1,3,0.0,,1,1,      027101101
271,59,1,1,0.0,si,1,1,      027105901
271,59,1,0,7.0,,2,2,      027105901
272,86,1,1,0.0,,1,4,      027208601
272,91,1,3,0.0,si,1,1,      027209101
272,91,1,0,6.0,,2,2,      027209101
275,28,1,2,0.0,si,1,6,      027502801
275,28,1,2,0.0,,2,7,      027502801
275,29,1,2,0.0,no,1,2,      027502901
275,54,1,2,0.0,,1,3,      027505401
275,62,1,2,0.0,si,1,1,      027506201
275,62,1,2,0.0,,2,2,      027506201
276,15,1,1,0.0,,1,5,      027601501
277,8,1,no sabe,,,1,1,      027700801
277,9,1,0,2.0,,1,1,      027700901
277,54,1,0,8.0,,1,1,      027705401
277,55,1,2,0.0,,1,2,      027705501
277,61,1,3,0.0,no,1,1,      027706101
277,63,1,0,2.0,si,1,1,      027706301
277,63,1,1,0.0,,2,2,      027706301
277,65,1,1,0.0,no,1,2,      027706501
278,50,1,0,2.0,si,1,1,      027805001
278,50,1,1,2.0,,2,2,      027805001
279,16,1,3,3.0,si,1,1,      027901601
279,16,1,0,3.0,,2,2,      027901601
279,56,1,3,0.0,si,1,1,      027905601
279,56,1,3,0.0,,2,2,      027905601
280,27,1,2,0.0,si,1,6,      028002701
280,27,1,2,0.0,,2,7,      028002701
280,47,1,3,0.0,,1,6,      028004701
280,65,1,3,0.0,si,1,1,      028006501
280,65,1,3,0.0,,2,2,      028006501
281,19,1,0,6.0,,1,1,      028101901
281,24,1,1,0.0,,1,1,      028102401
282,45,1,0,8.0,,1,1,      028204501
283,34,1,1,0.0,,1,1,      028303401
283,35,1,2,0.0,,1,1,      028303501
284,60,1,2,0.0,no,1,1,      028406001
285,18,1,2,0.0,,1,1,      028501801
286,62,1,1,0.0,,1,1,      028606201
286,70,1,2,0.0,,1,1,      028607001
