HHID,SH81A,SH81B,SH81C,SH81D,SH81E,SH81F,SH81G
"1133003",0,0,1,1,0,0,0
"1133008",1,0,0,0,0,0,0
"1133012",0,0,0,0,0,0,1
"1133017",0,0,0,0,0,0,0
"1133021",0,0,1,1,0,1,0
"1133026",1,0,0,1,0,0,0
"1133030",0,0,0,0,0,0,0
"1133035",0,0,0,0,0,0,0
"1133039",0,0,0,0,0,0,1
"1133044",0,0,0,0,0,0,0
"1133048",1,0,0,0,0,0,0
"1133053",1,0,0,0,0,0,0
"1133058",1,0,1,0,0,0,0
"1133062",0,0,0,0,0,0,0
"1133067",0,0,1,0,0,0,0
"1133071",0,0,0,0,0,0,0
"1133076",0,0,0,0,0,0,0
"1133080",1,0,0,0,0,0,0
"1133085",0,0,0,1,0,0,0
"1133089",0,0,0,0,0,0,0
"1133094",1,0,0,0,1,0,0
"1133099",0,0,0,0,0,0,0
"1133103",0,0,0,0,0,0,1
"1133108",1,1,0,0,1,0,0
"1133112",1,0,0,0,0,0,0
"1133117",1,0,0,0,0,0,0
"1133121",0,0,0,0,0,0,0
"1133126",0,0,0,0,0,0,0
"1133130",0,0,1,1,0,0,0
"1133135",0,0,0,0,0,0,0
"1133139",0,0,1,0,0,0,0
"1134002",0,0,0,0,0,0,0
"1134007",0,0,0,0,0,0,0
"1134013",0,0,0,0,0,0,0
"1134019",0,0,0,1,0,0,0
"1134024",0,0,0,0,0,0,0
"1134030",0,0,0,0,0,0,0
"1134037",0,0,0,0,0,0,0
"1134042",0,0,0,0,0,0,0
"1134049",0,0,0,0,0,0,0
"1134055",1,0,1,1,1,0,0
"1134061",0,0,0,0,0,0,0
"1134067",1,0,0,1,0,0,0
"1134073",0,0,0,1,0,1,0
"1134079",1,0,0,0,0,0,0
"1134085",0,0,0,0,0,0,0
"1134091",0,0,0,0,0,0,0
"1134098",0,0,0,0,0,0,0
"1134104",1,0,1,0,0,0,1
"1134110",0,0,1,0,0,0,0
"1134117",0,1,0,0,0,0,0
"1134123",0,0,0,0,0,0,0
"1134128",0,0,0,0,0,0,0
"1134134",0,0,0,0,0,0,0
"1134140",0,0,0,0,0,0,0
"1134148",0,1,0,0,0,0,0
"1134154",0,0,0,0,0,0,0
"1134160",1,0,0,0,1,0,0
"1134166",1,1,0,0,1,0,0
"1134171",0,0,0,0,0,0,0
"1134178",0,0,0,0,0,1,0
"1135003",0,0,0,0,0,0,0
"1135008",0,0,0,0,0,0,0
"1135013",0,0,0,0,0,0,0
"1135018",0,0,1,0,0,0,0
"1135023",1,0,0,0,0,0,0
"1135028",1,0,1,1,0,0,0
"1135033",0,0,0,0,1,0,0
"1135038",1,0,0,0,0,0,0
"1135044",0,0,0,0,0,0,0
"1135049",0,0,0,0,0,0,0
"1135054",1,1,1,1,0,0,1
"1135059",0,0,0,0,0,0,0
"1135064",1,0,0,0,0,0,0
"1135069",0,0,0,0,0,0,0
"1135074",0,0,0,0,0,0,0
"1135079",0,0,0,0,0,0,0
"1135084",0,0,0,0,0,0,0
"1135089",0,0,0,0,0,0,0
"1135094",0,0,0,0,0,0,0
"1135099",0,0,0,0,0,0,0
"1135104",0,0,0,0,0,0,0
"1135109",0,0,0,0,0,0,0
"1135114",0,0,0,0,0,0,0
"1135119",1,1,0,0,0,0,0
"1135125",0,0,0,0,0,0,0
"1135130",0,0,0,0,0,0,0
"1135135",0,0,0,0,0,0,0
"1135140",0,0,1,1,1,0,0
"1135145",0,0,0,0,0,0,0
"1135150",0,0,0,0,0,0,0
"1135155",0,0,0,0,0,0,0
"1136002",0,1,0,0,0,0,0
"1136005",0,0,0,0,0,0,0
"1136008",0,0,0,0,0,0,0
"1136011",0,0,0,0,1,0,0
"1136014",0,0,0,0,0,0,0
"1136017",0,0,0,0,0,0,0
"1136020",0,0,0,0,0,0,0
"1136023",0,0,0,0,0,0,0
"1136025",0,0,0,0,0,0,0
"1136028",0,0,0,0,0,0,0
"1136030",0,1,0,0,0,0,0
"1136033",0,0,0,0,0,0,0
