HHID,SH81A,SH81B,SH81C,SH81D,SH81E,SH81F,SH81G
"000905701",0,0,0,0,0,0,0
"000906201",0,1,0,0,0,0,0
"000906601",0,0,0,0,1,0,0
"000907101",0,0,0,0,0,0,0
"000907601",0,0,0,0,0,0,0
"000908101",0,0,0,0,0,0,0
"000908601",0,0,0,0,0,1,0
"000909101",1,1,0,0,0,0,0
"000909601",0,0,0,0,0,0,0
"000910101",0,0,0,0,0,0,0
"000910601",0,0,0,0,0,0,0
"000911101",0,0,0,0,0,0,0
"001000301",0,0,0,0,0,0,0
"001001001",0,1,0,0,0,0,0
"001001601",1,0,0,0,0,0,0
"001002301",1,0,0,0,0,0,0
"001002901",1,0,0,0,0,0,0
"001003601",1,0,1,1,1,0,0
"001004301",0,0,0,0,0,0,0
"001004801",1,0,1,0,0,0,0
"001005501",0,1,0,0,0,0,0
"001006801",0,0,0,0,0,0,0
"001007401",0,0,0,0,0,0,0
"001008101",0,0,0,0,0,0,0
"001009401",0,0,0,0,0,0,0
"001010101",0,0,0,0,0,0,0
"001010701",1,0,0,0,0,0,0
"001011401",0,0,0,0,0,0,0
"001012101",0,0,1,1,0,0,0
"001012701",0,0,0,0,0,0,0
"001013401",0,0,0,0,0,0,0
"001014001",0,0,0,0,0,0,0
"001014701",1,0,0,0,0,0,0
"001015301",0,0,0,0,0,0,0
"001101701",1,0,0,0,0,0,0
"001101801",0,0,0,0,0,0,0
"001101901",0,0,0,0,0,0,0
"001102001",0,0,0,0,0,0,0
"001102101",0,0,0,0,0,0,0
"001102201",1,0,0,0,0,0,0
"001102301",1,0,0,0,0,0,0
"001102401",0,0,0,0,0,0,0
"001103301",0,0,0,0,0,0,0
"001104901",0,0,0,0,0,0,0
"001105001",0,0,0,0,0,0,0
"001105101",0,0,0,0,0,1,0
"001105201",0,0,0,0,0,0,0
"001105401",1,0,0,0,0,0,0
"001105501",0,0,0,0,0,0,0
"001105601",0,0,0,0,0,0,0
"001106501",0,0,0,0,1,0,0
"001108901",1,0,1,0,0,0,0
"001109001",1,0,0,0,0,0,0
"001109101",0,0,0,0,0,0,0
"001109201",0,0,0,0,0,0,0
"001109301",0,0,0,0,0,0,0
"001109401",1,1,0,1,1,0,0
