ID1,HHID,NRO_ORDEN,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2019,"015903101",1,1,35,1,2017,nan
2019,"016204401",1,2,78,11,2018,nan
2019,"016206101",1,1,87,6,2014,nan
2019,"016502601",1,2,52,4,2014,nan
2019,"016506301",1,1,94,5,2017,nan
2019,"016601201",1,2,83,6,2017,nan
2019,"016713701",1,2,84,5,2018,nan
2019,"016713801",1,1,77,7,2016,nan
2019,"017000401",1,1,85,4,2017,nan
2019,"017110601",1,2,102,4,2019,nan
2019,"017206501",1,1,81,10,2015,nan
2019,"017206501",2,2,82,9,2016,nan
2019,"017402801",1,1,72,1,2019,nan
2019,"017404801",1,1,98,8,2015,nan
2019,"017707801",1,2,86,9,2014,nan
2019,"017711801",1,2,80,7,2017,nan
2019,"018106601",1,1,18,3,2014,nan
2019,"018112201",1,2,95,8,2017,nan
2019,"018311901",1,2,77,3,2015,nan
2019,"018402201",1,2,68,2,2015,nan
2019,"018606701",1,1,75,2,2019,nan
2019,"018900401",1,1,83,2,2014,nan
2019,"018911701",1,1,89,3,2018,nan
2019,"019003801",1,1,60,7,2014,nan
2019,"019101601",1,1,20,5,2015,nan
2019,"019507101",1,1,1,4,2018,nan
2019,"019610101",1,1,47,8,2017,nan
2019,"019706401",1,1,87,10,2015,nan
2019,"020104901",1,1,84,2,2015,nan
2019,"020109801",1,1,70,6,2017,nan
2019,"020206901",1,2,70,5,2018,nan
2019,"020208201",1,2,96,9,2015,nan
2019,"020312901",1,1,54,8,2014,nan
2019,"020504701",1,1,74,4,2018,nan
2019,"020600301",1,2,43,1,2016,4
2019,"020814601",1,1,45,2,2019,nan
2019,"021001301",1,2,60,11,2014,nan
2019,"021009901",1,1,84,10,2017,nan
2019,"021501301",1,1,63,5,2014,nan
2019,"021601701",1,2,38,4,2018,4
2019,"021806901",1,1,33,2,2017,nan
2019,"021807401",1,2,57,3,2019,nan
2019,"022100301",1,2,74,6,2018,nan
2019,"022200201",1,2,58,5,2015,nan
2019,"022603101",1,2,39,8,2016,4
2019,"022800301",1,1,72,11,2016,nan
2019,"022901001",1,2,3,1,2014,nan
2019,"022905301",1,1,83,1,2014,nan
2019,"023102601",1,1,93,1,2015,nan
2019,"023107001",1,2,85,8,2017,nan
2019,"023111901",1,2,54,7,2016,nan
2019,"023402101",1,1,98,3,2018,nan
2019,"023504701",1,2,8,1,2014,nan
2019,"023506001",1,1,1,9,2017,nan
2019,"023607501",1,1,82,5,2014,nan
2019,"023710301",1,2,58,11,2017,nan
2019,"023805001",1,2,96,5,2018,nan
2019,"023805801",1,1,92,7,2018,nan
2019,"023904001",1,2,85,12,2017,nan
2019,"023910301",1,1,40,3,2019,nan
2019,"024003601",1,2,64,7,2018,nan
2019,"024308801",1,2,60,7,2015,nan
2019,"024311701",1,2,87,2,2018,nan
2019,"024402001",1,1,86,7,2018,nan
2019,"024402401",1,1,91,12,2018,nan
2019,"024504501",1,2,88,11,2016,nan
2019,"024603401",1,1,30,6,2015,nan
2019,"024705101",1,2,100,10,2016,nan
2019,"024714501",1,2,74,1,2018,nan
2019,"025315601",1,2,85,9,2016,nan
2019,"025612701",1,2,67,10,2016,nan
2019,"025904401",1,2,61,1,2017,nan
2019,"025905301",1,1,0,4,2017,nan
2019,"026100201",1,2,90,7,2015,nan
2019,"026101401",1,1,88,6,2018,nan
2019,"026303501",1,1,90,4,2016,nan
2019,"026509301",1,2,80,9,2015,nan
2019,"026509301",2,2,83,8,2016,nan
2019,"026804201",1,1,88,2,2018,nan
2019,"027001001",1,1,83,9,2015,nan
2019,"027002301",1,2,103,12,2017,nan
2019,"027101901",1,1,70,11,2018,nan
2019,"027105201",1,2,30,3,2014,4
2019,"027105501",1,1,85,3,2016,nan
2019,"027207101",1,2,61,2,2015,nan
2019,"027406601",1,1,2,1,2016,nan
2019,"028100701",1,1,51,3,2015,nan
2019,"028101701",1,1,51,4,2016,nan
2019,"028201501",1,1,78,12,2017,nan
2019,"028201901",1,1,70,2,2014,nan
2019,"028301801",1,1,83,9,2018,nan
2019,"028409101",1,2,84,12,2016,nan
2019,"028502401",1,2,88,11,2016,nan
2019,"028602701",1,1,87,5,2014,nan
2019,"028604101",1,1,94,12,2018,nan
2019,"028702601",1,1,50,6,2016,nan
2019,"028702801",1,2,64,3,2014,nan
2019,"028807401",1,1,92,10,2017,nan
2019,"028901701",1,2,67,9,2018,nan
2019,"029002001",1,1,29,2,2014,nan
2019,"029002101",1,2,90,1,2016,nan
2019,"029103701",1,1,82,12,2017,nan
2019,"029300701",1,2,53,5,2015,nan
2019,"029301801",1,2,60,2,2019,nan
2019,"029404401",1,1,22,3,2019,nan
2019,"029404501",1,2,85,8,2015,nan
2019,"029404501",2,2,106,9,2016,nan
2019,"029502801",1,2,62,1,2019,nan
2019,"029602001",1,1,94,3,2019,nan
2019,"029716101",1,2,89,7,2018,nan
2019,"029725101",1,1,93,8,2016,nan
2019,"029725101",2,2,80,11,2017,nan
2019,"030617901",1,1,87,5,2014,nan
2019,"030708601",1,1,87,8,2014,nan
2019,"030905301",1,2,86,12,2017,nan
2019,"031403001",1,1,49,3,2015,nan
2019,"031507401",1,2,88,10,2018,nan
2019,"032302201",1,1,70,4,2014,nan
2019,"032403201",1,2,88,4,2016,nan
2019,"032606301",1,1,83,4,2017,nan
2019,"032606401",1,2,84,4,2017,nan
2019,"032702901",1,1,38,1,2019,nan
2019,"032807901",1,1,0,7,2015,nan
2019,"032905401",1,1,82,12,2014,nan
2019,"033300201",1,2,88,5,2019,nan
2019,"033407901",1,2,15,2,2016,4
2019,"033409001",1,1,21,12,2018,nan
2019,"033409501",1,1,87,4,2019,nan
2019,"033409701",1,1,19,12,2017,nan
